サークル名,著者,キーワード,ジャンル詳細,詳細ページ,Webサイト,設営場所
"野良HACK","むらまさ","HACK,Qiita,ブログ","ゆるい電子工作ガイド、社内の非公認コミュニティ「野良HACK」のこれまでの活動と歴史、メンバーによる”初心者がQiitaなどの技術系ブログで苦戦する「著者が"当たり前"のこととして割愛した部分」を補足できるような記事”をまとめた本にしたいと思っています。","https://techbookfest.org/event/tbf06/circle/50680002","https://qiita.com/yskmjp/items/cedbfd3f3980c42a8771","い26"
"engineer.hanzomon","kz","ラズパイ","ファミコンにラズパイを格納したプレゼンファミコンです。コントローラでスライドを操作しながらプレゼンしよう！","https://techbookfest.org/event/tbf06/circle/50540001","なし","い27"
"じゅにゃ","じゅにゃ","","電子工作の量産に関する本。プリント基板やレーザーカッター等の利用について","https://techbookfest.org/event/tbf06/circle/36290003","","い28"
"広島電子工作娯楽部","金田 晃","KiCad","電子工作初心者を脱し、自作基板に興味はあるが、なかなか手が出せない人に向けて、KiCad5を用いての回路図作成、基板設計をして見て、まずは基板を作ってみる事を目標に挑戦する。","https://techbookfest.org/event/tbf06/circle/46260003","https://akira-junkbox.blogspot.com/2019/03/6.html","い29"
"しょ〜とらば〜ず","樋口グッピー","CAD","基板CAD入門本,痛基板","https://techbookfest.org/event/tbf06/circle/63940006","https://twitter.com/Short_Lovers","い30"
"MZ工房","みず","GoogleHome,RaspberryPI,アプリ,センサ,リクガメ","リクガメ監視システムバージョン２！リクガメは温度湿度、転倒していないか、などをリモートで監視する必要があります。外で仕事中なときでも様子が知りたくなります。それを各センサからの値を取り込みRaspberryPIをサーバとして外部アクセスできるアプリを作成します。また、GoogleHomeの音声コマンドにて監視出来る仕組みを作りました。","https://techbookfest.org/event/tbf06/circle/65490004","https://sites.google.com/view/mzfactory","う01"
"ひろ亭","長村ひろ","IT,デジタルガジェット","子どもと育てるスマートスピーカー 第２弾！子どもと遊ぶスマートスピーカー 子育てとIT、デジタルガジェットなどを","https://techbookfest.org/event/tbf06/circle/71460002","https://twitter.com/hirosys_","う02"
"牛タンコロッケ","きみちゃん","AI,Alexa,Assistant,Google","Alexa、Google AssistantなどのAIアシスタントが作る未来予想図","https://techbookfest.org/event/tbf06/circle/38220002","","う03"
"天の川オーディオ研究室","assi","GNU,Octave,RaspberryPi,デジタルチャンネルデバイダ","自作スピーカーをマルチアンプで高音質で鳴らすためにRaspberryPiをデジタルチャンネルデバイダにする。またGNU Octaveを使ってフィルタの設計を行う。","https://techbookfest.org/event/tbf06/circle/54500003","https://twitter.com/dangomushi_assi","う04"
"Craft by Sakadon","さかどん","","はじめてのスピーカー工作方法を図解！初心者もオリジナルスピーカーが作れる＆設計できるようになるかもしれない内容と、筆者が今まで作ってきたオリジナル自作スピーカーの設計図面を掲載。増強版として、音楽之友社のスピーカー自作キットの作り方を6ページつかって詳しく解説！","https://techbookfest.org/event/tbf06/circle/59860001","https://sakadon.booth.pm/","う05"
