サークル名,著者,キーワード,ジャンル詳細,詳細ページ,Webサイト,設営場所
"パルヒコさん","モリケイタ","Web","Webディレクターマンガ","https://techbookfest.org/event/tbf06/circle/65820012","https://note.mu/kt_flcl","お39"
"東葛飾PM&A研究所","いなやまふみたか","","ソフトウェア開発に必要となるチームビルディング、プロジェクトマネジメント 、エンジニアの育成をテーマにしています。","https://techbookfest.org/event/tbf06/circle/59990002","http://inayama.hatenadiary.jp/","お40"
"エゥーゴ","argama147","C,IoT,Qt","【新刊】IoT入門 【既刊】Qt5/C++入門","https://techbookfest.org/event/tbf06/circle/50400002","https://qiita.com/argama147","か01"
"豆部","shin1","D,Qt","Qt3Dを使って3Dアプリケーションの作り方を解説します。","https://techbookfest.org/event/tbf06/circle/54540001","","か02"
"eMbLog","sazus","C,Python,Qt,Tool,アプリ,アプリケーションフレームワーク","アプリケーションフレームワーク Qt を使用してマルチ言語なアプリケーションを作ってみませんか？ QtならC++でもPythonでも多言語対応するのに便利なToolがもりだくさん！ いろんな機能をピックアップして「はじめてのQt - 簡単！アプリを多言語化しよう」書きました。","https://techbookfest.org/event/tbf06/circle/65860002","","か03"
"daisy bell","MNukazawa","GTK,Qt,electron,font","fontをバイナリファイルとして何もないところから作る本。また、GTK/Qt/electronの再販を予定しています。","https://techbookfest.org/event/tbf06/circle/58160001","https://twitter.com/MNukazawa","か04"
"理ろぐ","理音伊織","Office,Open,Qt,Quick,XML,アプリ","新刊にOffice Open XMLに入門する本と、既刊にQt Quickアプリの設計方針の参考になる情報をまとめた本を頒布します。","https://techbookfest.org/event/tbf06/circle/50300001","http://relog.xii.jp/","か05"
"The Foo!","Kami / Radian","HCI,Radian,Word,kami,marugerin","HCIカラーリングの理論と数的プログラミング本(kami), アンプ回路作成本(Radian), Word執筆術本(marugerin)","https://techbookfest.org/event/tbf06/circle/58100001","https://the-foo.tokyo","か06"
"Fnow","ツジセアオイ","CMS,OS,OSS","主にマイナーOSについての本と、あとはCMS中心ですがOSSを使う、導入する際の比較検討などを中心にした記事を取り扱います","https://techbookfest.org/event/tbf06/circle/57960005","https://fnow.org","か07"
"tomo-makes","tomo-makes",")。,Amazon,Colaboratory,Google,Sagemaker","趣味で仕事で機械学習に関わるメンバによる合同誌「機械学習の炊いたん。（仮）」。実践から数理まで幅広いトピックを取りあげます! Amazon Sagemaker, Google Colaboratory, 実践だけでなく、知って嬉しい機械学習の理論も取り上げる予定(執筆者調整中)。前回技術書典5以降750部以上手にとっていただいた、初学者のための機械学習・深層学習チュートリアル(既刊)が、商業本としてカムバック。","https://techbookfest.org/event/tbf06/circle/56510006","https://qiita.com/tomo_makes","か08"
"DevRel Meetup","goofmint","","エンジニアのための英語学習、エンジニアのためのマーケティング本などを配布します。","https://techbookfest.org/event/tbf06/circle/40030003","https://devrel.tokyo","か09"
"インターステラ株式会社出版部","インターステラ株式会社出版部","Web,スクレイピング","Webスクレイピング","https://techbookfest.org/event/tbf06/circle/38350001","","か10"
"yagitch.com","yagitch（やぎっち）","AWS,Pragmatic,Terraform,Tips,on,チビドラゴン,ブログ,ポッドキャスト","エンジニア向けに、ブログや本、登壇やポッドキャストなどのアウトプットを継続していくためのテクニックまとめ本『継続的にアウトプットする技術』を頒布予定。行動科学や心理学に裏付けされたTipsを多数解説。ほかに委託本としてTerraformを使ってAWS上にシステムを構築するノウハウ本『Pragmatic Terraform on AWS』、モデリング（設計）の学習方法と社内勉強会の進め方ノウハウ本『もくもくモデリングの森を旅するチビドラゴンの軌跡』を頒布予定。","https://techbookfest.org/event/tbf06/circle/71480001","https://yagitch.com/","か11"
"Sylphid Software Systems","風野旅人","","文庫本作成ツール・威沙の最新版の頒布、及び詳説テンプレート・超簡単な威沙の使い方など過去の配布物の再販を行う予定。","https://techbookfest.org/event/tbf06/circle/40040001","http://tokimi.sylphid.jp","か12"
"(有)ねこのしっぽ","ねこのしっぽ有志","","印刷機械とその技術","https://techbookfest.org/event/tbf06/circle/63780001","https://www.shippo.co.jp/neko/","か13"
"火薬400g","hogehuga","アンチドローン","アンチドローン,ログ確認","https://techbookfest.org/event/tbf06/circle/48320001","","か14"
"だめぽラボ","mod_poppo","ClutTeX,LaTeX","LaTeX処理自動化ツール「ClutTeX」の解説本を出します。","https://techbookfest.org/event/tbf06/circle/65820001","https://lab.miz-ar.info/","か15"
"職業プログラマの休日出勤","@t_motooka","PostScript,SVG","テキストエディタを使ってSVG画像やPostScript文書を作成するための本を頒布します。","https://techbookfest.org/event/tbf06/circle/67530001","https://www.tmotooka.com/books/","か16"
"暗黙の型宣言","レプトケファルス","Fortran,Python,Word,アカデミックプレゼン","Wordの数式入力環境についてまとめました．Wordでは未だに数式エディタが使われることがありますが，Word 2007から導入された「数式」（数式入力環境）は，数式エディタとは全てが異なります．「数式」が導入されてから10年以上経ちますが，未だ数式エディタを指して，Wordの数式入力が使い難いという批判が行われています．一方で，「数式」はWordと密接に関係しているので，Wordにも習熟していないと使いこなすのが難しい環境であることも事実です．新刊では，そのような「数式」を徹底的に解説します．既刊として，「Fortranによる実践オブジェクト指向プログラミング」「徹底練習！アカデミックプレゼン」「流体計算で覚えるPython3」も頒布します．","https://techbookfest.org/event/tbf06/circle/44580002","https://twitter.com/implict_none","か17"
"FlightBooks","ku-suke","Markdown,flightbooks,https,pub","Markdownを使った執筆環境 https://flightbooks.pub/ で作られた本を合同で販売しています。その他同人誌執筆・販売についても考察予定","https://techbookfest.org/event/tbf06/circle/52120002","https://flightbooks.pub/","か18"
"あらど島","tomochan","Asciidocor,attributes,ifdef,include","みんな使っているAsciidocorで自動化してもなくならない運用手順書や仕様書を効率よく作成・保守するための実用例を書きます。もうincludeとattributesとifdefさえあれば良い・・・","https://techbookfest.org/event/tbf06/circle/69760001","","か19"
"ソラソルファ","藤原惟","Markdown,メイキング・オブ・,ライティング","Markdownの基本と活用法を紹介する『Markdownライティング入門』と、その本ができていく過程やこぼれ話についての新刊エッセイ『メイキング・オブ・Markdownライティング入門』を頒布します。またサークル「仲見研」からの委託本として、『なかみ博士の気になるの気になる学術系ニュース』2019年3月 春号も頒布致します。","https://techbookfest.org/event/tbf06/circle/60050001","https://note.solarsolfa.net/m/mefa5f72c6531","か20"
"niszet工房","niszet*","Markdown,OOXML,Pandoc,R,Word","R MarkdownでWord文書を作るために必要なPandocやOOXMLについての説明など","https://techbookfest.org/event/tbf06/circle/57940001","","か21"
"Vivliostyleユーザー会","緑豆はるさめ","CSS,Vivliostyle","CSSを使ったオープンソースの組版ソフトウェア「Vivliostyle」ユーザー有志による合同誌が出ます！ 多分！","https://techbookfest.org/event/tbf06/circle/46140004","","か22"
"落雷スプライト","大賀サク","InDesign","同人小説本を出したい人向けのInDesign解説本","https://techbookfest.org/event/tbf06/circle/67860002","https://twitter.com/ogs_52843","か23"
"r360study","森和恵","Adobe,Dreamweaver,UI,XD,ウェブ,ウェブコーディング,ビジュアルレイアウト","「Adobe Dreamweaver ビジュアルレイアウト」（ウェブコーディングの本）と「Adobe XD アニメーションレシピ」（ウェブのモーションUIをXDで作る本）の２冊の新刊を発行予定。","https://techbookfest.org/event/tbf06/circle/44920008","https://twitter.com/r360studio","か24"
"SLEEPYHEAD by Futon.","ginrei","Adobe,Ai,ClipStudio,Ps,Script,UI","プロダクトデザイン・UIデザイン系理論書と、Adobe Ps/Ai Script・ClipStudioアニメーションなど創作系の自動化スクリプト本、","https://techbookfest.org/event/tbf06/circle/34330005","http://futonweb.net","か25"
"屋根裏ハンモック","かきもち","AfterEffects","AfterEffectsのスクリプトを紐解き、オリジナルのエフェクトを作ってみましょう日記","https://techbookfest.org/event/tbf06/circle/36220004","","か26"
"MOBIUS Seeker","神威光司","JSX,Photoshop","PhotoshopスクリプトJSXのサンプルコード本","https://techbookfest.org/event/tbf06/circle/54610004","","か27"
"Taz Books","466548","Adobe,vol","Adobeアンソロジーvol1,Adobeアンソロジーvol2","https://techbookfest.org/event/tbf06/circle/44410001","","か28"
"CGメソッド","すいみん","D,Live,メイキング","Live2Dメイキング本","https://techbookfest.org/event/tbf06/circle/44420003","https://www.cg-method.com/","か29"
"YATAYA2000","無頼/【たに なつみ】 ","C,D,Live,Twitter,メイキング","主にTwitterでアップしているLive2Dを使用したアニメーションのメイキング本。現状では「にじさんじ」のキャラクターのアニメーションのメイキングを本としてまとめる予定。「にじさんじ」のキャラクターを用いているので厳密には二次創作にはなるが、本の内容はキャラクターの二次創作についてではなく、あくまでLive2Dアニメーションについての本。コミックマーケットC95で同様の書籍の頒布経験あり。","https://techbookfest.org/event/tbf06/circle/60240002","http://yataya2000.com/","か30"
"osakana.factory","未識魚","","情報理論や統計分析による作画技法論。機械学習など進める際の基礎理論に。","https://techbookfest.org/event/tbf06/circle/58350001","http://ofo.jp/","か31"
"Heriet","heriet","EDG,EDGE","ドット絵に関する技術書を書きます。今回はソフトウェアEDGEおよびEDGE2で利用されている画像形式EDGの仕様を解析した非公式の仕様書を頒布します","https://techbookfest.org/event/tbf06/circle/36070002","","か32"
"よぴたんなの。","yopita_","UI","UIの作り方。計算機科学の世界において、いままでどのようにUIが作られてきたか、どのように作ればいいのか、また最新研究や事業化の話まで。UIを作る入り口としての書籍を書こうと思っています。","https://techbookfest.org/event/tbf06/circle/52330005","","か33"
"あーるすりー同人部 with ハッカソンアイドル(自称)","くらら","Customine,VTuber,gusuku,kintone,ハッカソン","ノーコードでkintoneカスタマイズできるgusuku Customineの紹介漫画、個人でハッカソンで制作したものも展示する予定（VTuberハッカソンなど…）","https://techbookfest.org/event/tbf06/circle/58350007","https://blog.r3it.com/custominedoujinshi-ea2f594e86b5","か34"
"いつでもぐりーんぼーい","Grnboy","UI,UX","UI/UXが大好きなエンジニアが、デザイナーやディレクターを巻き込んでデザイン課題の解決や業務フローの改善を行った体験記。また、そのノウハウを余すところなく公開致します！","https://techbookfest.org/event/tbf06/circle/58360007","","か35"
"flexbooks","flexbooks編集部","UI","現場で使えるUIハンドブック的なものを散布予定です。あのUIなんていう名前だったっけ？とかどのライブラリで実装できる？など現場で困ったときに使えるようなものになる予定。","https://techbookfest.org/event/tbf06/circle/71560002","","か36"
"6Q.design","ろくぜうどん","STUDIO,Web,サイトビルダー","無料で利用できる、デザイン性の高い国産WebサイトビルダーSTUDIOのハウツー本を頒布予定です。","https://techbookfest.org/event/tbf06/circle/56470001","https://twitter.com/rokuzeudon","か37"
"Data Visualization Labs Path","ゆかり先生","BI,D,Excel,PowerBI,Qlik,Tableau,データビジュアライゼーション・ビジュアルアナリティクス,ビジュアライゼーションツール,ベストプラクティス,メンタリティ","データビジュアライゼーション・ビジュアルアナリティクスに関して、表現形式の概念・理論体系をベースとし、筆者が実務を通して身につけたコツや技術向上のためのメンタリティを纏めた本です。筆者はTableauを本の中で使用しておりますが、ExcelやPowerBI,Qlikなど他BIは勿論のことD3等どのようなビジュアライゼーションツールでも、視覚的効果のベストプラクティスとして参考になる内容です。","https://techbookfest.org/event/tbf06/circle/69730002","https://twitter.com/DataVizLabsPath","か38"
"Goodpatch Inc.","Goodpatch有志一同","Goodpatch,Web,スマートフォンアプリ","Goodpatchを支えるWebやスマートフォンアプリの開発技術やデザインに関することなど","https://techbookfest.org/event/tbf06/circle/56020005","","か39"
"SIGNIA","ななうみ","UI","使いやすく機能するUIを作れるようになる本を頒布予定。デザインを因数分解して、内容を理解し、実践できるような本になります。デザイン初心者でもわかりやすく、平易な言い回しを多く使っているのが特徴です。詳しくは頒布物の紹介項目をご覧ください。本文のサンプルも閲覧いただけます。","https://techbookfest.org/event/tbf06/circle/47950009","https://signia.booth.pm/","か40"
"ふぃーるどのーつ","せとあず","AppCenter,CD,CI,Forms,Studio,Visual,Xamarin","新刊は「Visual Studio AppCenterではじめるはじめてのXamarin.Forms CI/CD」の予定です。","https://techbookfest.org/event/tbf06/circle/38160002","http://pub.fieldnotes.jp/","か41"
"まどや","ラルフ・みずね・ちゅうこ","Android,Azure,Kotlin,Microsoft,NET,Windows,Xamarin,（.","既刊についてはMicrosoft周り（.NETやXamarin、Azure、Windowsなど）を、新刊についてはAndroid、Kotlin周り","https://techbookfest.org/event/tbf06/circle/36240011","","か42"
"legio","januswel","Native,React","React Native で発展的な話題","https://techbookfest.org/event/tbf06/circle/59930002","https://legio.booth.pm/","か43"
"TEAM HOTATE","Yuri & Kaoru","Algolia,Firebase,Native,React,アプリ,ネクストステップ","React Nativeへの理解を深めるネクストステップ。ネイティブモジュールを使えるようになろう！有名なFirebaseと検索エンジンのAlgoliaを連携させて音声でお酒を検索できるアプリが作れます！","https://techbookfest.org/event/tbf06/circle/69720003","","か44"
"からまげ＠うまうまだよもん","karamage","Firestore,iOS,アプリ","「エンジニアの心を整える技術」と「FirestoreによるiOSアプリ開発」","https://techbookfest.org/event/tbf06/circle/44420005","https://karamage.booth.pm","か45"
"おいすラボ","おいす","Native,React","実践 React Native プロジェクト構成からリリースまで ","https://techbookfest.org/event/tbf06/circle/54720004","https://twitter.com/pktn","か46"
"CCの会","out_of_kaya,macchan_ok ,Nakami‏, papa98765432 ‏","AmazonEcho,Angular,GatsbyJS,Nuxt,js","4人の執筆者がNuxt.js, Angular, AmazonEchoスキル開発、GatsbyJSについて自由に書きました","https://techbookfest.org/event/tbf06/circle/46430002","https://ccnokai.npathfinder.info/","か47"
"IM@Study"," imasbook","Meetup,アイマス,アイマスハッカソン・アイマスエンジニア","アイマスハッカソン・アイマスエンジニアMeetupなどから生まれた『アイマス×エンジニア』の作品に携わる有志による合同本","https://techbookfest.org/event/tbf06/circle/54670006","https://imas.connpass.com/","か48"
"kuluna.class","kuluna","API,Android,DataBinding,RESTful,アプリ,アプリチーム","これからAPIを作る人も APIと通信するアプリを作る人も、APIがうまく作れない人も アプリチームとうまくコミュニケーションがとれない人も  RESTful APIに関する全て(?)の悩みをここで解決します！ 既刊はAndroidのDataBinding実践本です。","https://techbookfest.org/event/tbf06/circle/46230001","https://twitter.com/kuluna","か49"
"OreQueue","おれきゅー","Nuxt,SpringBoot,Web","SpringBoot+NuxtでWebサービスを作ってみる本を出す予定です","https://techbookfest.org/event/tbf06/circle/56500001","","か50"
"愛宕文庫","ledsun","Ruby","プログラミング言語Rubyにおける並行処理・並列処理全般について扱います。","https://techbookfest.org/event/tbf06/circle/52380010","","か51"
"Kishima Craft Works","Kishima","PDF,VM,c,mruby","昨年12月にリリースされたばかりのmruby2.0.0のVMの基本的な動き方と、コンパイラが生成するバイトコードの命令群の一つ一つを解説したリファレンス的な内容の本となっています。命令の概要の紹介だけでなく、実装を参照しつつ、どのように命令の処理がVM上で実現されているのかについても解説しています。mrubyのVMの気持ちになりたい方におすすめの本です。またmruby/cについて解説した既刊「mruby/cの小さな世界」の改訂版も少量持っていく予定です。PDF版も準備中です。","https://techbookfest.org/event/tbf06/circle/60340012","https://silentworlds.info/my-books/","か52"
"みさきとミギー","youchan","JavaScript,Opal,Ruby","Rubyの本をいくつか出展いたします。RubyからJavaScriptへ変換するコンパイラOpalの入門書やRubyで自然言語処理をするなど。","https://techbookfest.org/event/tbf06/circle/42020002","http://blog.youchan.org","か53"
"トレイリア学園","kinoppyd","Gem,Ruby,Sinatra","メタプログラミングRuby第２版の中で取り扱われている多くのテクニックを、現実のGemがどのように利用しているのか、Sinatraにフォーカスを当ててコードを読み、解説していきます。","https://techbookfest.org/event/tbf06/circle/47950006","http://tolarian-academy.net","か54"
"Ruby超入門オブジェクトさんファンクラブ","igaiga","Rails,Ruby","Ruby入門書を1冊、Ruby,Railsの勉強法について1冊","https://techbookfest.org/event/tbf06/circle/56370001","https://twitter.com/igaiga555","か55"
"Ginza.rb","ken1flan","Rails","脆弱性を持たせたRailsアプリケーションに攻撃して体験する本となにかとミートアップ画集豆本2冊。","https://techbookfest.org/event/tbf06/circle/44710002","http://ginzarb.github.io/","か56"
"アリンコの涙","なおき","Fido,Go,PostgreSQL,Rails,UNIX,plpython,コマンドラインアプリ","Railsを利用したFido認証の作成,UNIXの基礎,Goで作るコマンドラインアプリ,PostgreSQL plpythonいじってみた","https://techbookfest.org/event/tbf06/circle/34120001","https://arinko_namida.gitlab.io/201904/","か57"
"FISM株式会社","ふぃずむ","","紙媒体とデジタルコンテンツ","https://techbookfest.org/event/tbf06/circle/44790004","","か58"
"エムスリーエンジニアリンググループ執筆部","エムスリーエンジニアリンググループ執筆部","エムスリー","エムスリーで働くエンジニアが業務や趣味で得た知見を技術書にまとめます","https://techbookfest.org/event/tbf06/circle/46360001","https://www.m3tech.blog/entry/m3techbook-01","か59"
"ツインテール欠乏症","あるてみかん","MySQL","MySQL関連の内容を予定していますが、状況により変わる可能性もあります。","https://techbookfest.org/event/tbf06/circle/61920008","","か60"
"AliceSystem","ありす ゆう / インフラエンジニアの毒舌な妹","IP,LDAP,Postfix,SQL,TCP","新刊はSQL全般の解説書を準備中です。既刊として、TCP/IP入門書、LDAP入門書、Postfix入門書を持ち込む予定です","https://techbookfest.org/event/tbf06/circle/40230001","http://aliceyou.air-nifty.com/","か61"
"jbking","jbking","Django","商業誌に載らない系のDjangoでの開発本(既刊)と新刊(何か出します…)を頒布します。","https://techbookfest.org/event/tbf06/circle/33990001","","か62"
"あきよこブログ","akiyoko","Amazon,BOOTH,Django,Framework,Python,REST,ブログ","Python / Django 推しサークルの「あきよこブログ」です。 技術書典6では、Django 本の第三弾となる「現場で使える Django REST Framework の薄い本」を新刊で頒布予定。 おかげさまで、過去に頒布した同人誌は累計4,500部突破！（BOOTH および Amazon での販売数を含む）","https://techbookfest.org/event/tbf06/circle/52260001","http://akiyoko.hatenablog.jp/","か63"
"あくあたん工房","あくあたん","Android,Django,React,Web,アプリ,セキュア","京都工芸繊維大学のものづくりコミュニティ「あくあたん工房」のメンバーによるオムニバス形式の技術同人誌です．React + Djangoで研究室配属希望調査Webアプリケーションを作った話やAndroidアプリでデータをセキュアに扱う話など，それぞれが普段活動している中で得た知見をまとめた記事を載せる予定です．","https://techbookfest.org/event/tbf06/circle/44540001","https://www.aquatan.studio","か64"
"ザ・シメサバズ","ザ・シメサバズ","firebase,js,netlify,vue,web","netlify入門書、vue.jsとfirebaseで作るミニwebサービス","https://techbookfest.org/event/tbf06/circle/44420001","http://mymarkdown.firebaseapp.com/","か65"
"こりん堂","kondoyuko","Firebase,GitHub,Netlify,Pages,サイトホスティング","各種クラウドサービスを活用した静的サイトホスティングの入門書（GitHub Pages、Firebase、Netlify対応）","https://techbookfest.org/event/tbf06/circle/67620002","https://yuko.pub/","か66"
"つのぶえ出版","つのぶえ出版","Gatsby,Gridsome,JAMstack,Netlify","Netlify, JAMstack, Gatsby, Gridsome","https://techbookfest.org/event/tbf06/circle/71450005","https://mottox2.com/posts/324","か67"
"VEGA Tech","ponday","CI,Components,GitHub,Gridsome,JAMstack,LitElement,Netlify,Travis,VuePress,Web,contentful","Gridsomeの紹介とGridsome,contentful,GitHub,Travis CI,NetlifyでのJAMstackなサイト制作フローの紹介、VuePressによる静的サイト構築、Web ComponentsおよびLitElementの入門書、エンジニアチームマネジメントについて","https://techbookfest.org/event/tbf06/circle/56060003","","か68"
"scrp","scrpgil","Firebase,Ionic,メッセージングサービス","Ionic4+Firebaseを使って匿名メッセージングサービスを作る本です。","https://techbookfest.org/event/tbf06/circle/34010001","","か69"
"ハムカツおじさん🤘","ハムカツおじさん🤘","Expo,Native,React,デプロイ,ビルド","ノウハウ無しでも一人でなんとかなるReact Native(Expo対応)の開発環境構築/ビルド/デプロイ/運用。1人でもチーム開発環境が作れるようになる本。#1人チーム本","https://techbookfest.org/event/tbf06/circle/48030001","","か71"
"N4+","なのなの","Electron,Flutter,Vue,js,デスクトップアプリ","Vue.jsとElectronを利用したデスクトップアプリの開発ノウハウ（環境構築から「○○するにはどうすればいいか」まで）を実例を交えて解説する本と、Flutterをこれから始める人のためにオリジナル擬人化キャラと共に入門以前レベルを学ぶ本を頒布予定です。現状、Vue.js+Electron本がメインとなる予定です。","https://techbookfest.org/event/tbf06/circle/54320001","","か72"
"きじのしっぽ","け","Node,Pi,Raspberry,js,ジョブ","Raspberry Piで録画サーバを構築するハウツー本／Node.jsで作るジョブ運用システムの本","https://techbookfest.org/event/tbf06/circle/46130001","https://k-s.booth.pm","か73"
"Monochrome","汐瀬なぎ","HooksAPI,React,SPA","ReactでSPAを制作するノウハウ解説本です。React16.8で追加されたHooksAPIをメイントピックとして取り上げ、SPA構築の基礎からルーティングやヒストリーといったSPAが抱える複雑な問題に対処する方法を解説します。","https://techbookfest.org/event/tbf06/circle/34320007","https://twitter.com/polyxx/","か74"
"cat /dev/null","のりたま","CocosCreator,HTML,Twitter,TypeScript,russianblue","HTML5ゲームエンジン CocosCreator + TypeScriptの初めの一歩を踏み出すための本です。 HTML5ゲームとCocosCreatorに興味がある方はぜひ。 Twitter: @russianblue375","https://techbookfest.org/event/tbf06/circle/44920011","","か75"
"東京ラビットハウス","erukiti (えるきち)","Hooks,React","React Hooks","https://techbookfest.org/event/tbf06/circle/42100001","https://note.mu/erukiti/n/n1e082f36e95c","か76"
"アーチ技術部","アーチ技術部","Blender,Fabric,GitLab,Griffith,Next,Now,Python,Scrapbox,Slack,TypeScript,Web,ZEIT,js,ラフスケッチ","アニメを支える技術に関する56ページの冊子「アニメ技術 2019春」を頒布します。アニメ作りを支える技術、とくに絵コンテに関する創作支援技術にフォーカスしています。絵コンテの基本や既存ツールの概説など、デジタル化するアニメ制作の「今」が分かります。また、開発中のWebベースの絵コンテ制作支援ツール「Griffith」を紹介しています。Slack/Scrapbox/GitLab/ZEIT Nowなどを活用してTypeScript/Next.js/Fabric.jsといった要素技術を用いて開発しています。さらに、ゲスト寄稿ではPythonからBlenderを使う方法、深層学習でラフスケッチを線画化する技術についても執筆いただいています。このように、技術が支えるアニメ制作の「明日」も垣間見える内容です。","https://techbookfest.org/event/tbf06/circle/52360006","https://research.archinc.jp/anitech/","か77"
"deno-ja","deno-ja","Deno,JavaScript,Node,TypeScript,js","新進気鋭の TypeScript / JavaScript ランタイム Deno を用いたソフトウェア開発についての合同誌。 Node.js の次の時代を切り開いていく Deno を紹介する日本で初（？）の冊子です","https://techbookfest.org/event/tbf06/circle/58330003","https://scrapbox.io/deno-ja/Denobook_01","か78"
"潜推艦","Takepepe","TypeScript","TypeScript3.4 型の強化書","https://techbookfest.org/event/tbf06/circle/40060001","","か79"
"neko-note","mya-ake","Lambda,Nuxt,js,neko,note","Nuxt.js を Lambda で動かし本番運用するためのノウハウ本とカンファレンスのデザインに関する本を頒布します！あと neko-note ステッカーなども頒布します🐈","https://techbookfest.org/event/tbf06/circle/63760001","https://neko-note-help.booth.pm","か80"
"NCC開発局","3846masa / fmsuvM","PWA,Web,アプリ,カメラアプリ,ハンズオン","前作の「カメラアプリを PWA で作る」話に続き、PWA な Web アプリのハンズオン本を頒布します。また、機械学習の薄い本も頒布予定です。","https://techbookfest.org/event/tbf06/circle/52370008","","き01"
"Stableton","u","Android,Heroku,Now,Zeit,iOS,アプリ,デプロイメント,ハンズオン","超速デプロイメントを実現するプラットフォーム入門&ハンズオン（Zeit Now・Heroku・iOS/Androidアプリ編）","https://techbookfest.org/event/tbf06/circle/46490009","","き02"
"北大IT勉強会A","北大IT勉強会A","IT,LLVM,Optuna,Rust,Web,ハイパーパラメータチューニングツール,フリマアプリ,ホクマ","北海度大学の学生サークル「北大IT勉強会」のメンバー４人による技術書です。Webフリマアプリ「ホクマ」の開発話、Rustでネットワークプログラミングする話、ハイパーパラメータチューニングツール「Optuna」の解説、LLVMコンパイラのわかりやすい説明など。","https://techbookfest.org/event/tbf06/circle/61900008","https://twitter.com/huitclub/status/1107257767775993856","き03"
"わんにゃんショップ麦","@mugi_uno","Vue,jQuery,js,to,カワイイ,レガシーフロントエンド","心理的安全を保ちながらレガシーフロントエンドをモダンに改善していくためのリアルな現場で使えるノウハウをまとめた本を頒布します。表紙はカワイイですが、筆者が2年ほどやってきたフロントエンドの改善経験がベースになっており、中身はゴリゴリに現実的な話です。jQuery to Vue.jsを実際に書き換える流れを段階的に追っていくことで実践的に学べるような構成になっています。","https://techbookfest.org/event/tbf06/circle/40310003","http://mugi1.hateblo.jp/entry/2019/03/09/163443","き04"
"PWA Night","PWA Night","PWA,Tips","PWAの実装やライブラリの活用方法・構築のTipsなど技術的な面はもちろん、実際にどんな場面で適用できるのかなどをまとめた本になります。","https://techbookfest.org/event/tbf06/circle/50530002","","き05"
"データ見える化の学校","矢崎裕一","","日本語であまり存在していないデータ可視化の原理原則についてわかりやすくまとめた本になります。","https://techbookfest.org/event/tbf06/circle/60350016","http://visualizing.jp/","き06"
"イモに聞け","imonikike","JavaScript","JavaScriptの書き方を考察する本を頒布します。フレームワークやライブラリに依存しない素のJavaScriptを扱います。（今回はJavaScript本のみです）","https://techbookfest.org/event/tbf06/circle/46240001","","き07"
"@SongleJp","ひなた","API,Songle,ウェブサービス","音楽情報処理と呼ばれる音楽に関する情報技術分野の紹介します。具体例として、音楽を解析するウェブサービス Songle が提供する Songle API を利用した音楽情報処理プログラミングの入門記事を執筆します。","https://techbookfest.org/event/tbf06/circle/67890001","https://songle.jp","き08"
"アカツキ書房","アカツキ書房","レイヤー","低レイヤーから組織作りまで、実業務等で培った様々なノウハウを詰め込んだ書籍を販売予定です。","https://techbookfest.org/event/tbf06/circle/60050002","","き09"
"Sinack","Sin","Angular,Ionic","IonicやAngularを使った何かの本を書くつもりでいます。書けなかったらIonicの既刊を持って行きます。","https://techbookfest.org/event/tbf06/circle/44910012","","き10"
"Beer2.0","りょうへい","Google,GoogleAppsScript,LINE,PC,ボット","GoogleAppsScriptでサーバーレスのLINEボットづくり！！必要なモノはPCとGoogleアカウントとLINEアカウントのみ！！LINEグループに自作のLINEボットを入れて、グループを盛り上げよう！！","https://techbookfest.org/event/tbf06/circle/46490002","","き11"
"ω3","オメガスリー","GAS,react,redux,slack,tips","4人での合作です。slackコマンドをGASで作成するチュートリアルとtips たくさん手にとってもらえる技術書の作り方と、得する選び方について イベントイラストのインスピレーションおよび発想の過程について react reduxの最適解","https://techbookfest.org/event/tbf06/circle/60090001","","き12"
"nekoze-at.tokyo","nekoze","GoogleMapsPlatform","GoogleMapsPlatform入門","https://techbookfest.org/event/tbf06/circle/36190004","","き13"
"dayjournal","dayjournal","C,GL,GPIO,I,IoT,JS,Leaflet,Mapbox,Web,①,②,オープンソースマップクライアントライブラリ,ソフトウェアライク,ブレッドボード","北海道から参加します！ WebマップアプリケーションとIoT関係の本を作ってみました！  ① オープンソースマップクライアントライブラリの「Leaflet」と「Mapbox GL JS」を比較解説しながら、 Webマップアプリケーションの構築方法を1冊の本にまとめてみました。  ② IoTに興味を持って検索したら、ブレッドボードとか、I2Cとか、GPIO18とか、訳分かんないんですが。 そんなソフトウェアライク！なエンジニアの為の、やりたい事をやる為の指南書。 ","https://techbookfest.org/event/tbf06/circle/64070001","https://day-journal.com/memo","き14"
"魔法技研","未知","ExcelVBA,Vue,WEB,axios","ExcelVBA+Vue+axiosを使用したWEB自動更新","https://techbookfest.org/event/tbf06/circle/52130005","https://note.mu/miti843/n/nf22e1d6d57db","き15"
"read_your_document.JS","Uncle JavaScript","JavaScript","JavaScript に関する雑誌です。第一号を 2019/1 月に発刊しました。第二号が 3月に発行されます。JavaScript に関するポエムや、技術情報、JavaScript エンジニアの過去のエピソード等々、JavaScript に関する、一般的な技術雑誌が取りこぼしがちな面白コンテンツが満載です。","https://techbookfest.org/event/tbf06/circle/71630001","https://ryd-js.com/","き16"
"電気マカロン","マカロン王子","IoT,Web","IoT,Webサービス開発,ソフトウエア開発,ハードウエア開発についていろいろ活動中。","https://techbookfest.org/event/tbf06/circle/57980001","https://twitter.com/denki_macaron","き17"
